Timestamp(s),KE,PE
0.0001,0.073633997,170.16988
0.01,81.055069,170.05042
0.02,97.272325,169.90349
0.03,188.57727,170.25315
0.04,162.42738,169.5537
0.05,237.77676,169.11575
0.06,236.41805,168.51803
0.07,238.64966,167.76445
0.08,216.91944,166.20821
0.09,207.15369,163.3862
0.1,202.44975,159.36258
0.11,3458.5527,150.44101
0.12,188.24846,136.11306
0.13,190.85561,131.51192
0.14,181.12641,127.1658
0.15,171.46343,121.99416
0.16,157.64762,116.65624
0.17,184.98706,110.87145
0.18,188.41008,105.40713
0.19,409.35596,99.089516
0.2,518.91789,92.178731
0.21,322.64263,87.509542
0.22,1027.2239,80.419426
0.23,2430.3236,69.593405
0.24,357.92685,60.039611
0.25,254.99001,56.36642
0.26,664.81412,53.323639
0.27,153.25923,49.234793
0.28,502.16745,48.215882
0.29,1978.4998,48.038983
0.3,122.59124,47.035646
0.31,69.22723,46.93497
0.32,95.037685,46.902147
0.33,242.89917,48.633885
0.34,407.5794,53.819054
0.35,435.32634,57.513806
0.36,287.78117,59.474917
0.37,288.96653,60.649522
0.38,358.43032,62.853434
0.39,262.44054,65.20247
0.4,135.75189,66.188733
0.41,376.89534,69.187302
0.42,319.20108,74.31965
0.43,179.7374,77.234561
0.44,208.26061,78.854645
0.45,356.59453,82.321151
0.46,688.12923,85.805856
0.47,2060.2446,90.065106
0.48,291.93481,94.462043
0.49,229.79609,91.337119
0.5,551.0079,87.89493
0.51,375.89661,83.081715
0.52,6163.388,72.026255
0.53,169.91788,58.827241
0.54,2788.2115,52.511434
0.55,211.74035,39.599097
0.56,586.89132,38.394754
0.57,475.67761,39.652784
0.58,429.10711,41.355624
0.59,387.37673,43.783646
0.6,247.37758,45.950289
0.61,265.65484,47.254736
0.62,129.13047,47.309583
0.63,179.4766,47.29138
0.64,384.65633,48.610445
0.65,446.08723,50.081784
0.66,726.45747,51.807646
0.67,577.71812,51.754937
0.68,547.98498,50.631514
0.69,540.21788,49.298521
0.7,664.33965,47.959806
0.71,467.11601,46.453019
0.72,255.69511,44.877377
0.73,226.66159,44.416426
0.74,218.30815,42.686311
0.75,280.16863,40.977323
0.76,952.99207,39.864823
0.77,972.51305,40.919699
0.78,886.30427,41.849658
0.79,833.94511,44.262472
0.8,808.9964,47.255782
0.81,165.03837,49.667642
0.82,170.98964,49.346779
0.83,147.05138,48.961497
0.84,351.74358,50.905652
0.85,350.32579,53.015237
0.86,320.04551,54.578929
0.87,669.87964,56.017814
0.88,661.91478,57.14204
0.89,566.67357,56.03315
0.9,585.96179,54.649421
0.91,551.79832,52.681736
0.92,187.21709,52.391808
0.93,110.03252,50.4045
0.94,115.91999,47.71958
0.95,264.9084,43.278105
0.96,269.56146,38.624696
0.97,498.89897,33.85096
0.98,961.2529,28.03681
0.99,756.20425,21.071153
1,499.19932,17.909484
1.01,512.96414,14.881315
1.02,305.43661,12.655054
1.03,319.67165,12.906291
1.04,257.45406,15.271856
1.05,96.089454,17.187374
1.06,239.94093,19.450806
1.07,738.31203,23.243104
1.08,740.52578,27.078594
1.09,751.18603,30.844557
1.1,755.77527,34.555909
1.11,882.75375,39.094246
1.12,91.901487,41.506596
1.13,98.645818,42.643419
1.14,186.83752,43.725633
1.15,185.80964,44.753237
1.16,485.18,45.72623
1.17,480.49963,46.583677
1.18,464.33379,47.370811
1.19,371.84168,48.112609
1.2,371.04255,48.877779
1.21,100.8545,49.588339
1.22,343.81438,50.108008
1.23,740.91644,49.850033
1.24,51.056623,49.537448
1.25,51.423545,49.170253
1.26,287.58788,48.748448
1.27,312.12421,48.272033
1.28,312.53864,47.679011
1.29,313.19409,47.023286
1.3,239.67773,46.383707
1.31,34.209129,46.20619
1.32,33.933151,45.98356
1.33,34.696551,45.715818
1.34,35.00918,45.402963
1.35,35.366922,45.044995
1.36,272.4381,44.641916
1.37,272.88606,44.193723
1.38,273.45017,43.700418
1.39,268.62907,43.162001
1.4,269.21237,42.578471
1.41,18.024604,41.949828
1.42,18.698134,41.276073
1.43,19.416776,40.557206
1.44,20.18053,39.793226
1.45,20.989397,38.984133
1.46,277.06538,38.129928
1.47,277.96448,37.23061
1.48,278.90868,36.28618
1.49,279.898,35.296637
1.5,280.93243,34.261982
1.51,26.960003,33.182214
1.52,28.047742,32.057334
1.53,29.206927,30.887341
1.54,30.421807,29.672236
1.55,31.681799,28.412018
1.56,297.85048,27.106688
1.57,330.5305,26.486877
1.58,330.93524,26.082399
1.59,331.39405,25.623311
1.6,331.90748,25.109613
1.61,74.276396,24.541305
1.62,73.193182,23.991969
1.63,75.766133,23.365368
1.64,76.447071,22.684158
1.65,382.15211,21.948338
1.66,363.36035,20.547683
1.67,365.16703,18.630307
1.68,367.24872,16.658321
1.69,223.65352,15.95552
1.7,142.28839,16.016011
1.71,148.11328,16.032823
1.72,54.499289,14.884835
1.73,55.455056,13.920835
1.74,54.544303,14.775351
1.75,53.744124,15.575257
1.76,52.998555,16.320553
1.77,51.873536,17.44747
1.78,50.589813,18.73092
1.79,49.366097,19.959759
1.8,42.257418,21.124321
1.81,26.055774,22.108309
1.82,25.126107,23.037703
1.83,24.25105,23.912487
1.84,23.430603,24.732661
1.85,22.664766,25.498226
1.86,21.953538,26.20918
1.87,21.296921,26.865524
1.88,20.694913,27.467259
1.89,3.4764497,27.96947
1.9,41.287443,26.833201
1.91,42.559985,25.560386
1.92,43.887137,24.232961
1.93,45.268899,22.850925
1.94,46.705272,21.41428
1.95,48.196253,19.923025
1.96,49.741845,18.37716
1.97,51.342047,16.776685
1.98,52.996859,15.121601
1.99,53.174408,13.423121
2,67.600097,12.266337
2.01,106.59101,11.7298
2.02,104.83101,13.489511
2.03,102.52011,15.194612
2.04,101.47375,16.845103
2.05,99.877592,18.440984
2.06,98.336047,19.982255
2.07,96.849113,21.468916
2.08,95.416788,22.900968
2.09,94.039074,24.278409
2.1,92.919127,25.555554
2.11,31.459859,26.759155
2.12,80.042934,29.284545
2.13,77.049782,31.78354
2.14,74.686689,34.14636
2.15,72.378206,36.45457
2.16,59.095014,38.680561
2.17,57.124602,40.6507
2.18,2118.0858,40.156754
2.19,15.63553,31.227818
2.2,14.749435,32.261146
2.21,13.758632,33.251735
2.22,12.810568,34.199586
2.23,36.73982,35.104699
2.24,35.877232,35.967073
2.25,35.057381,36.786709
2.26,34.28027,37.563608
2.27,33.545896,38.297768
2.28,32.85426,38.98919
2.29,32.205363,39.637873
2.3,31.599204,40.243819
2.31,31.035783,40.807026
2.32,30.5151,41.327495
2.33,28.043835,41.631486
2.34,27.855687,41.819419
2.35,27.710278,41.964615
2.36,27.607607,42.067072
2.37,27.547675,42.126791
2.38,0.91263891,42.143772
2.39,0.93818255,42.118014
2.4,1.0064644,42.049519
2.41,1.1174844,41.938285
2.42,1.2712426,41.784313
2.43,1.4677389,41.587603
2.44,1.7069735,41.348155
2.45,1.9889462,41.065968
2.46,2.3136571,40.741044
2.47,2.6749941,40.373381
2.48,3.0908061,39.96298
2.49,3.5437316,39.509841
2.5,4.0393952,39.013964
2.51,4.577797,38.475348
2.52,5.158937,37.893995
2.53,5.7828152,37.269903
2.54,6.4494315,36.603073
2.55,7.158786,35.893504
2.56,7.9108787,35.141198
2.57,8.7057096,34.346153
2.58,9.5432787,33.508371
2.59,10.423586,32.62785
2.6,11.346631,31.704591
2.61,12.312415,30.738593
2.62,13.320937,29.729858
2.63,14.372197,28.678384
2.64,15.466195,27.584172
2.65,16.602931,26.447222
2.66,17.782406,25.267534
2.67,48.529334,24.045108
2.68,20.452786,22.779943
2.69,21.760476,21.47204
2.7,23.110903,20.121399
2.71,24.504068,18.72802
2.72,25.939998,17.291903
2.73,33.902029,15.813047
2.74,35.423409,14.291454
2.75,36.987527,12.727122
2.76,38.594384,11.120052
2.77,40.243978,9.4702438
2.78,41.936311,7.7776974
2.79,43.148868,6.5591213
2.8,42.439978,7.2677832
2.81,41.77384,7.933707
2.82,41.150441,8.5568925
2.83,40.50143,9.1373398
2.84,39.963507,9.675049
2.85,39.468322,10.17002
2.86,39.015876,10.622253
2.87,38.606168,11.031747
2.88,38.239197,11.398504
2.89,37.914965,11.722522
2.9,37.633472,12.003802
2.91,37.06487,12.573887
2.92,35.675127,13.963417
2.93,34.328122,15.310208
2.94,33.023855,16.614261
2.95,31.762326,17.875576
2.96,30.543536,19.094153
2.97,10.322369,20.008846
2.98,2.8523428,20.40192
2.99,2.5017931,20.752256
3,2.1939817,21.059854
3.01,1.9289084,21.324714
3.02,1.7065733,21.546835
3.03,1.5269764,21.726218
3.04,1.3901176,21.862863
3.05,1.2959971,21.95677
3.06,1.2446147,22.007939
3.07,1.2359705,22.01637
3.08,1.2700645,21.982062
3.09,1.3468966,21.905016
3.1,1.466467,21.785232
3.11,1.6287755,21.62271
3.12,1.8338222,21.417449
3.13,2.0816071,21.169451
3.14,2.3721302,20.878714
3.15,2.7053914,20.545239
3.16,3.0813909,20.169026
3.17,3.5001285,19.750075
3.18,3.9616043,19.288385
3.19,4.4658182,18.783958
3.2,5.0127704,18.236792
3.21,5.6024607,17.646888
3.22,6.2348892,17.014245
3.23,6.9100559,16.338865
3.24,7.6279608,15.620746
3.25,8.3886039,14.85989
3.26,9.1919851,14.056295
3.27,10.038105,13.209962
3.28,10.926962,12.32089
3.29,11.858558,11.389081
3.3,12.832892,10.414533
3.31,13.849964,9.3972474
3.32,14.909774,8.3372234
3.33,15.544864,7.7039414
3.34,15.497121,7.7514713
3.35,15.492116,7.756263
3.36,15.529848,7.7183166
3.37,15.610319,7.6376319
3.38,15.733528,7.5142091
3.39,15.864241,7.3480481
3.4,16.072926,7.1391489
3.41,16.32435,6.8875115
3.42,16.618512,6.593136
3.43,16.516283,6.256279
3.44,15.98724,7.2243935
3.45,14.846774,8.3646465
3.46,13.749045,9.4621614
3.47,12.694055,10.516938
3.48,11.681802,11.528977
3.49,10.712288,12.498277
3.5,9.7855126,13.424839
3.51,8.901475,14.308663
3.52,8.0601755,15.149749
3.53,517.89332,15.948096
3.54,6.8928396,16.703706
3.55,6.1797547,17.416577
3.56,5.5094079,18.08671
3.57,4.8817994,18.714105
3.58,4.296929,19.298762
3.59,3.7547968,19.84068
3.6,3.2554028,20.339861
3.61,2.7987469,20.796303
3.62,2.3848292,21.210007
3.63,2.0136498,21.580972
3.64,1.6852085,21.9092
3.65,1.3995053,22.19469
3.66,1.1565404,22.437441
3.67,0.95631363,22.637454
3.68,0.79882504,22.794729
3.69,0.68407464,22.909265
3.7,0.61206243,22.981064
3.71,0.58278839,23.010124
3.72,0.59625253,22.996446
3.73,0.65245485,22.94003
3.74,0.75139536,22.840876
3.75,0.89307404,22.698984
3.76,1.0774909,22.514353
3.77,1.304646,22.286985
3.78,1.5745392,22.016878
3.79,1.8871706,21.704033
3.8,2.2425402,21.348449
3.81,2.6406479,20.950128
3.82,3.0814939,20.509068
3.83,3.565078,20.02527
3.84,4.0914003,19.498734
3.85,4.6604608,18.92946
3.86,5.2722595,18.317448
3.87,5.9267964,17.662697
3.88,6.6240714,16.965209
3.89,7.3640846,16.224982
3.9,8.146836,15.442017
3.91,8.9723256,14.616313
3.92,9.8405533,13.747872
3.93,10.751519,12.836692
3.94,11.705223,11.882774
3.95,12.701666,10.886118
3.96,13.740846,9.8467242
3.97,14.822765,8.7645919
3.98,5.3789638,7.6986707
3.99,15.527641,8.0594879
4,15.175222,8.4116926
4.01,14.865542,8.7211591
4.02,14.5986,8.9878874
4.03,14.374396,9.2118775
4.04,14.192931,9.3931295
4.05,14.024077,9.5316432
4.06,13.928087,9.6274188
4.07,13.874836,9.6804562
4.08,13.864323,9.6907555
4.09,13.896549,9.6583165
4.1,13.971512,9.5831394
4.11,14.089214,9.4652241
4.12,14.249653,9.3045706
4.13,10.91848,9.1073959
4.14,13.494023,10.061056
4.15,12.473591,11.081275
4.16,11.495896,12.058756
4.17,10.56094,12.993499
4.18,9.6687216,13.885503
4.19,8.8192417,14.73477
4.2,8.0124999,15.541298
4.21,7.2484963,16.305088
4.22,6.5272309,17.026139
4.23,5.8487036,17.704453
