Timestamp(s) KE PE
0.0001 0.092712695 171.51729
0.01 80.510139 172.06061
0.02 169.77049 174.25128
0.03 202.4543 177.06521
0.04 195.68697 179.47531
0.05 213.44467 181.5632
0.06 214.45134 182.97253
0.07 343.06081 183.45919
0.08 1970.8233 180.82155
0.09 453.50992 176.58772
0.1 275.54242 172.44861
0.11 162.31344 169.03534
0.12 133.17676 165.97205
0.13 172.599 162.84073
0.14 135.35357 157.44842
0.15 240.01776 153.67798
0.16 1984.425 146.57125
0.17 3767.1123 132.36976
0.18 4985.8289 119.09997
0.19 453.60309 110.67623
0.2 93.306738 105.48937
0.21 93.197729 101.44669
0.22 111.15232 96.832329
0.23 108.61974 92.185077
0.24 138.22896 88.184846
0.25 111.83045 84.444718
0.26 139.12545 80.943358
0.27 150.14726 79.320079
0.28 213.79093 78.21681
0.29 160.24011 77.038431
0.3 156.50775 76.705755
0.31 168.06779 76.123572
0.32 172.80284 74.999026
0.33 161.4224 74.226757
0.34 233.01706 72.351563
0.35 214.43791 70.470051
0.36 217.46546 68.876244
0.37 208.02485 68.013494
0.38 1646.7855 65.91421
0.39 892.24515 60.880565
0.4 189.16616 61.517146
0.41 234.63439 61.772944
0.42 332.79633 61.803943
0.43 331.20162 62.238461
0.44 480.39325 63.11498
0.45 414.26745 63.636168
0.46 356.76188 63.524532
0.47 285.46263 62.987924
0.48 4834.8907 56.413218
0.49 357.01599 46.677451
0.5 356.47305 46.941584
0.51 352.23058 47.462736
0.52 1133.4636 46.526663
0.53 359.06395 41.579539
0.54 275.16849 41.183816
0.55 310.03214 40.812644
0.56 268.83481 39.867321
0.57 294.65312 39.282528
0.58 338.04898 40.199514
0.59 429.60406 41.158853
0.6 415.54869 41.80747
0.61 2323.2102 38.854195
0.62 191.12633 35.566595
0.63 215.76031 35.764593
0.64 211.55899 36.223858
0.65 341.46123 36.526473
0.66 358.61671 36.618479
0.67 218.32739 36.657392
0.68 309.02216 37.749961
0.69 314.03841 38.488638
0.7 210.92881 39.395998
0.71 255.72182 40.662254
0.72 259.6039 42.677149
0.73 131.82385 44.698434
0.74 602.86057 45.174781
0.75 5677.7423 40.482571
0.76 258.67611 40.033137
0.77 1937.9965 37.980491
0.78 267.7324 36.132623
0.79 726.04274 35.157444
0.8 2968.5704 31.141999
0.81 179.08006 30.30521
0.82 55.08322 29.914683
0.83 123.36999 29.459068
0.84 124.95354 28.944124
0.85 141.36141 28.37717
0.86 290.75065 27.762064
0.87 309.20619 27.663162
0.88 316.96375 27.103682
0.89 486.46934 24.821321
0.9 644.61693 21.341858
0.91 822.34751 17.186252
0.92 878.14978 12.608884
0.93 64.705778 12.299418
0.94 39.002808 12.496944
0.95 56.103391 12.940985
0.96 58.75806 13.449282
0.97 90.364373 13.926278
0.98 85.238018 14.371974
0.99 90.522181 14.78637
1 93.864294 15.169465
1.01 228.96557 15.453284
1.02 236.74978 15.744883
1.03 113.9278 16.02672
1.04 87.454559 16.277255
1.05 34.521725 16.702203
1.06 39.369261 17.196025
1.07 83.582768 17.021249
1.08 84.072052 16.532251
1.09 39.437129 16.353371
1.1 40.336416 16.591595
1.11 40.327642 16.81881
1.12 27.24901 17.138799
1.13 28.443277 17.46555
1.14 28.138085 17.770634
1.15 27.854559 18.054051
1.16 25.370462 18.239527
1.17 17.835801 18.032645
1.18 18.005242 17.863095
1.19 18.196351 17.671878
1.2 45.534576 17.458994
1.21 46.087516 17.224443
1.22 39.818489 16.968226
1.23 37.897448 16.690341
1.24 38.201269 16.39079
1.25 11.670713 16.069572
1.26 12.013488 15.726687
1.27 13.320036 15.362136
1.28 13.706146 14.975917
1.29 14.113923 14.568032
1.3 49.055697 13.943412
1.31 52.461602 12.68501
1.32 53.739674 11.404099
1.33 65.778356 10.101522
1.34 58.420304 8.777278
1.35 87.888547 7.431367
1.36 99.744913 6.8174467
1.37 95.104161 7.7117622
1.38 94.927343 8.5529675
1.39 90.498151 9.4032407
1.4 89.567114 10.334182
1.41 88.655337 11.245863
1.42 44.681447 12.138285
1.43 85.203242 13.121999
1.44 83.776247 14.548886
1.45 89.203662 15.954105
1.46 67.257341 17.128116
1.47 63.511561 17.988092
1.48 1848.049 15.499708
1.49 19.837479 12.301949
1.5 22.880461 12.617724
1.51 22.579059 12.919053
1.52 22.292102 13.205939
1.53 22.02474 13.478379
1.54 17.415143 13.736375
1.55 17.171519 13.979927
1.56 16.94234 14.209034
1.57 16.721487 14.423696
1.58 1.5841621 14.623914
1.59 1.3976357 14.809687
1.6 1.2256768 14.981016
1.61 1.0685797 15.1379
1.62 0.92606607 15.280339
1.63 0.79799884 15.408334
1.64 0.68437618 15.521885
1.65 0.58519808 15.620991
1.66 0.50046453 15.705652
1.67 0.43017555 15.775869
1.68 0.37433114 15.831641
1.69 0.33293128 15.872969
1.7 0.30597598 15.899852
1.71 0.29346525 15.91229
1.72 0.29539908 15.910284
1.73 0.31177746 15.893834
1.74 0.34260041 15.862938
1.75 0.38786792 15.817599
1.76 0.44758 15.757814
1.77 0.52173663 15.683586
1.78 0.61033783 15.594912
1.79 0.71338358 15.491794
1.8 2.8594908 15.374232
1.81 2.9914257 15.242224
1.82 3.1378051 15.095773
1.83 3.2986291 14.934877
1.84 3.4738977 14.759536
1.85 5.1572506 14.56975
1.86 11.706816 14.365521
1.87 11.925418 14.146846
1.88 16.944374 13.913727
1.89 38.314506 13.666163
1.9 90.919501 13.404155
1.91 90.825381 13.127703
1.92 91.116206 12.836805
1.93 99.453747 12.531463
1.94 20.861145 12.211677
1.95 22.790222 11.877446
1.96 23.138825 11.528771
1.97 23.501873 11.16565
1.98 23.879365 10.788086
1.99 24.271302 10.396077
2 24.677684 9.9896229
2.01 25.09851 9.5687245
2.02 9.7674126 9.1333817
2.03 10.217128 8.6835942
2.04 10.681287 8.2193622
2.05 11.159892 7.7406856
2.06 11.652941 7.2475645
2.07 12.160434 6.7399988
2.08 12.682372 6.2179885
2.09 13.218755 5.6815337
2.1 13.769582 5.1306343
2.11 14.334854 4.5652904
2.12 14.91457 3.9855019
2.13 15.508731 3.3912688
2.14 16.117336 2.7825912
2.15 16.029562 2.860107
2.16 15.423019 3.466578
2.17 14.830921 4.0586044
2.18 14.253267 4.6361862
2.19 13.690057 5.1993235
2.2 13.141292 5.7480162
2.21 12.606972 6.2822643
2.22 20.448841 6.8020679
2.23 19.94341 7.3074269
2.24 19.452423 7.7983414
2.25 18.975881 8.2748113
2.26 18.513783 8.7368367
2.27 18.06613 9.1844174
2.28 17.632922 9.6175536
2.29 17.214158 10.036245
2.3 16.809839 10.440492
2.31 16.419964 10.830295
2.32 16.044534 11.205653
2.33 15.683548 11.566566
2.34 15.337007 11.913035
2.35 15.004911 12.245059
2.36 14.691203 12.562639
2.37 3.4088837 12.865774
2.38 3.1201209 13.154465
2.39 2.8458026 13.428711
2.4 2.5859289 13.688512
2.41 2.3404998 13.933869
2.42 2.1095152 14.164782
2.43 1.8929752 14.38125
2.44 1.6908797 14.583273
2.45 1.5032288 14.770851
2.46 1.3300225 14.943986
2.47 1.1712607 15.102675
2.48 1.0269435 15.24692
2.49 0.89707084 15.37672
2.5 0.78164275 15.492076
2.51 0.68065923 15.592988
2.52 0.59412026 15.679454
2.53 0.52202586 15.751477
2.54 0.46437602 15.809054
2.55 0.42117074 15.852187
2.56 0.39241002 15.880876
2.57 0.37809386 15.89512
2.58 0.37822226 15.894919
2.59 0.39279523 15.880274
2.6 0.42181275 15.851184
2.61 0.46527484 15.80765
2.62 0.52318149 15.749671
2.63 0.5955327 15.677248
2.64 0.68232847 15.59038
2.65 0.78356881 15.489067
2.66 0.8992537 15.37331
2.67 1.0293832 15.243108
2.68 1.1739572 15.098462
2.69 1.3329758 14.939371
2.7 1.5064389 14.765836
2.71 1.6943466 14.577856
2.72 1.8966989 14.375431
2.73 2.1134957 14.158562
2.74 2.3447371 13.927249
2.75 2.590423 13.681491
2.76 2.8505535 13.421288
2.77 3.1251286 13.146641
2.78 6.2612596 12.857549
2.79 5.2230393 12.554012
2.8 5.540948 12.236031
2.81 5.8733013 11.903606
2.82 6.2200992 11.556736
2.83 6.5813416 11.195421
2.84 6.9570286 10.819662
2.85 7.3471602 10.429458
2.86 7.7517363 10.02481
2.87 8.170757 9.6057167
2.88 8.6042223 9.1721792
2.89 9.0521321 8.7241972
2.9 9.5144864 8.2617706
2.91 9.9912854 7.7848995
2.92 10.482529 7.2935837
2.93 10.988217 6.7878235
2.94 11.50835 6.2676186
2.95 12.042927 5.7329692
2.96 12.591948 5.1838753
