Timestamp(s),px0,px1,px2,px3,px4,px5,py0,py1,py2,py3,py4,py5
0,0,0.5,1,0.99,0.4999,1e-06,0,0,0,0.5,0.5,0.5
1,0.01,0.697792,0.99,0.99,0.302108,0.01,0.01,0.01,0.01,0.173685,0.0868105,0.173685
2,0.01,0.976074,0.99,0.99,0.0240259,0.01,0.01,0.01,0.01,0.40025,0.01,0.40025
3,0.0960637,0.688107,0.914796,0.989997,0.311993,0.0100032,0.01,0.01,0.01,0.41462,0.01,0.413184
4,0.385187,0.541498,0.615236,0.989984,0.52182,0.0100189,0.01,0.01,0.01,0.0100043,0.01,0.01
5,0.101336,0.890098,0.952124,0.98997,0.172964,0.0100346,0.01,0.01,0.01,0.01,0.01,0.01
6,0.212145,0.597942,0.78325,0.99,0.239662,0.0100011,0.01,0.01,0.01,0.01,0.01,0.01
7,0.179681,0.502535,0.610775,0.99,0.486453,0.010003,0.01,0.01,0.01,0.01,0.01,0.01
8,0.201466,0.773922,0.963229,0.989999,0.263441,0.0100009,0.01,0.01,0.01,0.01,0.01,0.01
9,0.110326,0.6672,0.91102,0.99,0.634615,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
10,0.280411,0.636096,0.896664,0.989999,0.391938,0.010001,0.01,0.01,0.01,0.01,0.01,0.01
11,0.100432,0.499586,0.678583,0.989997,0.362592,0.0100004,0.01,0.01,0.01,0.01,0.01,0.01
12,0.091069,0.4571,0.946733,0.989995,0.105384,0.0100021,0.01,0.01,0.01,0.01,0.01,0.01
13,0.205395,0.741188,0.803691,0.989999,0.330272,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
14,0.460834,0.718523,0.823482,0.989999,0.473445,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
15,0.199597,0.738982,0.860773,0.99,0.475034,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
16,0.0985789,0.479498,0.961048,0.99,0.143927,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
17,0.0920012,0.372378,0.707681,0.99,0.236906,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
18,0.311822,0.570256,0.636499,0.989999,0.438807,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
19,0.182272,0.88182,0.903585,0.989999,0.685277,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
20,0.102847,0.812364,0.899345,0.99,0.7232,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
21,0.35001,0.530717,0.571431,0.989998,0.404889,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
22,0.0800078,0.31352,0.617891,0.989996,0.164918,0.0100012,0.01,0.01,0.01,0.01,0.01,0.01
23,0.0495127,0.286264,0.859946,0.989994,0.241899,0.0100012,0.01,0.01,0.01,0.01,0.01,0.01
24,0.232393,0.603199,0.861257,0.99,0.587914,0.0100007,0.01,0.01,0.01,0.01,0.01,0.01
25,0.476819,0.906599,0.961811,0.989999,0.606145,0.0100016,0.01,0.01,0.01,0.01,0.01,0.01
26,0.361614,0.733415,0.744586,0.989999,0.639256,0.0100024,0.01,0.01,0.01,0.01,0.01,0.01
27,0.125794,0.428751,0.978519,0.99,0.294994,0.0100033,0.01,0.01,0.01,0.01,0.01,0.01
28,0.0931601,0.162507,0.739966,0.99,0.115974,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
29,0.229164,0.449473,0.501413,0.99,0.384561,0.0100009,0.01,0.01,0.01,0.01,0.01,0.01
30,0.241689,0.623423,0.794736,0.99,0.536284,0.0100021,0.01,0.01,0.01,0.01,0.01,0.01
31,0.0294883,0.842389,0.861685,0.99,0.816122,0.01,0.01,0.01,0.01,0.01,0.01,0.01
32,0.262267,0.808243,0.8748,0.99,0.484302,0.0100009,0.01,0.01,0.01,0.01,0.01,0.01
33,0.145393,0.514981,0.648658,0.989999,0.502136,0.0100018,0.01,0.01,0.01,0.01,0.01,0.01
34,0.207013,0.415037,0.74735,0.989999,0.228595,0.0100008,0.01,0.01,0.01,0.01,0.01,0.01
35,0.119334,0.562332,0.975499,0.989999,0.183147,0.0100004,0.01,0.01,0.01,0.01,0.01,0.01
36,0.0842113,0.751933,0.895105,0.99,0.414785,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
37,0.305,0.709519,0.74574,0.989999,0.518607,0.0100005,0.01,0.01,0.01,0.01,0.01,0.01
38,0.286794,0.541395,0.961759,0.99,0.409662,0.0100009,0.01,0.01,0.01,0.01,0.01,0.01
39,0.0640081,0.671374,0.767326,0.99,0.0912425,0.0100013,0.01,0.01,0.01,0.01,0.01,0.01
40,0.179288,0.390526,0.978716,0.99,0.289043,0.0100002,0.01,0.01,0.01,0.01,0.01,0.01
41,0.0957106,0.62316,0.763097,0.989999,0.389582,0.0100005,0.01,0.01,0.01,0.01,0.01,0.01
42,0.218152,0.599297,0.95588,0.989999,0.532154,0.0100006,0.01,0.01,0.01,0.01,0.01,0.01
43,0.311543,0.676572,0.807397,0.989999,0.50238,0.0100013,0.01,0.01,0.01,0.01,0.01,0.01
44,0.10017,0.784124,0.95636,0.99,0.348661,0.0100021,0.01,0.01,0.01,0.01,0.01,0.01
45,0.0215119,0.751031,0.898419,0.99,0.156159,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
46,0.331755,0.554559,0.627721,0.989999,0.365089,0.0100013,0.01,0.01,0.01,0.01,0.01,0.01
47,0.332674,0.580389,0.671904,0.989997,0.35231,0.0100026,0.01,0.01,0.01,0.01,0.01,0.01
48,0.0653092,0.787002,0.978373,0.99,0.158372,0.0100039,0.01,0.01,0.01,0.01,0.01,0.01
49,0.0806952,0.659692,0.961529,0.99,0.245833,0.0100001,0.01,0.01,0.01,0.01,0.01,0.01
50,0.272633,0.518264,0.757205,0.99,0.342208,0.0100003,0.01,0.01,0.01,0.01,0.01,0.01
